소재지전체주소,사업장명,업태구분명,latitude,longitude,mean_price
서울 영등포구 경인로102길 13 시네마동 7~9층(영등포동),롯데컬처웍스롯데시네마영등포,영화관,37.515923,126.9061525,30000
서울 강남구 강남대로92길 19 지하 1층,오르페오 룸 앳 트레바리 강남,영화관,37.4991642,127.0289197,30000
서울 영등포구 여의대방로65길 20,쇼타임즈,영화관,37.5202563,126.929463,30000
서울 송파구 올림픽로 300 롯데월드몰 내 롯데시네마 월드타워점 7층,비브스테이션,영화관,37.5136231,127.1041141,30000
서울 용산구 소월로20길 53,오드 프레젠트,영화관,37.54424290000001,126.984683,30000
서울 마포구 월드컵북로54길 12 디지털매직스페이스,시네마테크KOFA,영화관,37.5807815,126.8893389,30000
서울 종로구 대학로 132 형원빌딩,브로드웨이아트홀 2관,공연장,37.5830591,127.0020855,30000
서울 강남구 압구정로10길 9 대원 빌딩 지하 2층,이봄 씨어터,영화관,37.5230056,127.0220191,30000
서울 강남구 압구정로10길 9,넥스트비쥬얼스튜디오 시사실,영화관,37.5230056,127.0220191,30000
서울 성북구 아리랑로 82 아리랑시네센터및아리랑정보도서관,독립영화전용관 아리랑시네미디어센터,영화관,37.6002383,127.0139101,30000
서울 관악구 인헌12길 42 지하1층 자체휴강시네마,자체휴강시네마,영화관,37.4707862,126.9650566,30000
서울 마포구 월드컵로26길 39 시민공간 나루,성미산마을극장,영화관,37.559436,126.909917,30000
서울 강남구 테헤란로 218,누리로씨네마,영화관,37.5015185,127.0402909,30000
서울 동대문구 이문로 75,엔터TV극장,영화관,37.59403,127.0583328,30000
서울 금천구 가산디지털1로 181 가산더블유센터 314호,시네마9,영화관,37.4814161,126.880386,30000
서울 중구 남대문시장길 25-8,오픈시네마,영화관,37.560474,126.9774822,30000
서울 중구 명동길 26,코리아극장,영화관,37.5634537,126.9837623,30000
서울 금천구 독산로 317,독산극장,영화관,37.4751471,126.9031766,30000
서울 종로구 청계천로 187,바다극장,영화관,37.5692341,126.9984485,30000
서울 송파구 중대로 235,드림판타지키즈시네마,영화관,37.5027491,127.128403,30000
서울 종로구 종로50다길 20,청계극장 매점,영화관,37.5702146,127.0117291,30000
서울 송파구 올림픽로35가길 10,킴스컴퍼니,영화관,37.5169773,127.1022803,30000
서울 서초구 염곡말길 9 내곡동종합시설,명작극장,영화관,37.4617832,127.0507357,30000
서울 강남구 봉은사로63길 19,에이썸엔터테인먼트 관리팀,영화관,37.5126304,127.0465786,30000
서울 송파구 한가람로14길 15,풍납동토성작은영상관,영화관,37.5359975,127.1154602,30000
서울 송파구 성내천로35길 53,송파새싹극장마천관,영화관,37.5006682,127.1572915,30000
서울 성동구 광나루로 334,동부극장(폐관),영화관,37.5479781,127.0668075,30000
서울 마포구 월드컵로 212 마포구청,마실영화관,영화관,37.5660739,126.9014792,30000
서울 종로구 동숭길 122,하이퍼텍나다(폐관),영화관,37.5836681,127.0036988,30000
서울 종로구 성균관로 25-2 수선관 3층 61311호 졸업작품연구실,2022 FRIEDSCREEN,영화관,37.5883924,126.9922151,30000
서울 동작구 현충로 151,미장센단편영화제,영화관,37.5069023,126.969582,30000
서울 서대문구 이화여대길 52 이화여자대학교,백두대간,영화관,37.5618588,126.9468339,30000
서울 종로구 삼일대로 467,서울노인복지센터디지털상영관,영화관,37.5759852,126.9858221,30000
서울 서대문구 성산로 527,필레마,영화관,37.5641281,126.9445168,30000
서울 서대문구 성산로 527 지하 1층,생존,영화관,37.5641281,126.9445168,30000
서울 중구 을지로12길 5 동화빌딩 2층 203호,을지영화관,장소대여,37.5659565,126.991401,30000
서울 광진구 광나루로 438 지하1층 동편,건대 빔프로젝터 파티룸 우리영화관,장소대여,37.5455311,127.0780181,30000
서울 강북구 도봉로6길 8,시네마DVD영화관,DVD방,37.612487,127.0306304,30000
서울 성북구 고려대로24길 14 3층,씨넥스DVD영화관,DVD방,37.5856535,127.0291963,30000
서울 중랑구 망우로32길 14,동부DVD영화관,DVD방,37.5932391,127.0764224,30000
서울 동작구 만양로14가길 26 노량진 거성빌딩,팝스DVD영화관 노량진점,DVD방,37.5127544,126.9449377,30000
서울 관악구 시흥대로 558,칸DVD영화관,DVD방,37.4826167,126.9017935,30000
서울 중랑구 망우로32길 23,S DVD 영화관,DVD방,37.5929462,127.0771151,30000
"서울 용산구 후암로40길 3 지하1층(후암동, 몽블랑빌딩)",넷플릭스앤칠 후암,장소대여,37.5518478,126.9771975,30000
서울 마포구 독막로19길 40 지하 b101,넷플릭스앤칠 홍대,장소대여,37.5490276,126.9240451,30000
서울 마포구 연남로5길 42 제지하층 01호,스트리밍스튜디오온,장소대여,37.5613502,126.9198595,30000
