소재지전체주소,사업장명,업태구분명,latitude,longitude
서울 강서구 화곡동,우장산,"산,고개",37.5406979,126.8472722
서울 강동구 고덕동 379-3,고덕수변생태공원,"자연,생태공원",37.569923,127.1556064
서울 성동구 성수동1가 656-40,송정제방공원,근린공원,37.55187129999999,127.0462905
서울 서초구 방배동 산75-6,도구머리공원,근린공원,37.4797744,126.988577
서울 서대문구 홍은동 산11-279,백련근린공원,근린공원,37.5962429,126.9341727
서울 성동구 난계로 61-46,대현산배수지공원,근린공원,37.557572,127.0230219
서울 강북구 삼양로159길 60-7,북한산둘레길1구간(소나무숲길),도보코스,37.6591883,127.0094819
서울 금천구 독산동,독산자연공원,"자연,생태공원",37.4674733,126.8982935
서울 은평구 진관동 132-28,북한산둘레길9구간(마실길),도보코스,37.6425632,126.9411781
서울 노원구 중계동 산45,불암산철쭉동산,"도시,테마공원",37.6539826,127.0793002
서울 강북구 4.19로12길 60-93,북한산둘레길2구간(순례길),도보코스,37.6372691,126.9969894
서울 송파구 잠실로 148,석촌호수(서호),"호수,연못,저수지",37.5124523,127.0960483
서울 구로구 구로동 621-8,서울둘레길6코스,도보코스,37.4999375,126.8705241
서울 중랑구 묵동,봉화산,"산,고개",37.612732,127.0797858
서울 도봉구 창동  산192,초안산하늘꽃정원,근린공원,37.642685,127.0425592
서울 서대문구 연희동,안산벚꽃길,"거리,골목",37.5715365,126.9309364
서울 성북구 상월곡동,천장산,"산,고개",37.6060997,127.0478098
서울 성동구 연무장5길 9-26,성수동구두테마공원,"도시,테마공원",37.5448127,127.0524218
서울 동대문구 장안동,중랑천벚꽃길,"거리,골목",37.570207,127.0700249
서울 중랑구 신내동 산136-1,봉화산근린공원,근린공원,37.6110318,127.0923935
서울 은평구 진관동,이말산,"산,고개",37.6412799,126.9341722
서울 송파구 송파동 169,송이공원,"도시,테마공원",37.5012994,127.1188981
서울 강서구 허준로 221-40,황금내근린공원,근린공원,37.5617114,126.864444
서울 영등포구 양평동,안양천제방벚꽃길,"거리,골목",37.537704,126.8889568
서울 은평구 구산동 산36,거북골근린공원,근린공원,37.6102525,126.9078366
서울 강서구 염창동,증미산,"산,고개",37.5527315,126.8707482
서울 강서구 강서로80길 117,공암나루근린공원,근린공원,37.5698967,126.8503438
서울 금천구 호암로 192,호암늘솔길,산책로,37.4475441,126.9233976
서울 구로구 신도림동  282-38,안양천 생태초화원,"자연,생태공원",37.5120815,126.8763027
서울 관악구 신림동,도림천,하천,37.4631968,126.9358124
서울 양천구 목동,용왕산,산,37.5360367,126.8745334
서울 강북구 수유동 650-2,우이천,하천,37.6485822,127.0182491
서울 노원구 중계동,당현천,하천,37.6510125,127.0799977
서울 서대문구 연희동,연희숲속쉼터,공원,37.5715365,126.9309364
서울 성북구 동선동2가,성북천,하천,37.5901786,127.0200216
서울 은평구 응암동,불광천,하천,37.5938352,126.9231281
서울 송파구 마천동,성내천,하천,37.4984934,127.1527443
서울 성동구 성수동1가,중랑천,하천,37.5436099,127.0428194
서울 중구 회현동1가,남산산책로,등산로,37.5565076,126.9815177
서울 서초구 양재동 233,여의천,하천,37.4692915,127.0382031
서울 영등포구 문래동5가,도림천,하천,37.5166359,126.883964
서울 서초구 반포동,반포천,하천,37.5039744,127.0007494
서울 강남구 대치동 10,양재천,하천,37.4961775,127.0735895
서울 서초구 양재동 126,양재천,하천,37.4684007,127.0302942
